"id"	"Lib151Humandendritic0hrLPSrep1_IP"	"Lib151Humandendritic0hrLPSrep2_IP"	"Lib151Humandendritic0hrLPSrep3_IP"	"Lib151Humandendritic3hrLPSrep1_IP"	"Lib151Humandendritic3hrLPSrep2_IP"	"Lib151Humandendritic3hrLPSrep3_IP"	"Lib151Humandendritic6hrLPSrep1_IP"	"Lib151Humandendritic6hrLPSrep2_IP"	"Lib151Humandendritic6hrLPSrep3_IP"	"geneSymbol"	"name"	"desc"	"txLength"
1	0	0	0	0	0	0	0	0	0	"Xkr4"	"uc007aeu.1"	"XK-related protein 4"	3634
2	0	0	0	0	0	0.94	1	0	0	"AK149000"	"uc007aev.1"	"Mus musculus 2 days neonate sympathetic ganglion cDNA, RIKEN full-length enriched library, clone:7120441D17 product:unclassifiable, full insert sequence."	2257
3	0	0	0	0	0	0	0	0	0	"Rp1"	"uc007aex.2"	"oxygen-regulated protein 1 isoform 1"	7508
4	0	0	0	0	0	0	0	0	0	"Sox17"	"uc007aez.1"	"transcription factor SOX-17"	3130
5	520.73	505.83	556	250	239.41	298.77	215	256	278.02	"Mrpl15"	"uc007aff.2"	"39S ribosomal protein L15, mitochondrial isoform"	4203
6	560.45	552.29	610.13	470.25	388.14	333.06	441.52	463.55	378.6	"Lypla1"	"uc007afh.1"	"acyl-protein thioesterase 1"	2433
7	1325.74	1176.68	1239.74	1745.23	1336.58	1223.63	1965.32	1790.89	1446.81	"Tcea1"	"uc007afi.2"	"transcription elongation factor A protein 1"	2671
8	3.5	2.27	0	8.62	8.27	2.83	7.16	4.35	5.6	"Rgs20"	"uc007afl.2"	"regulator of G-protein signaling 20 isoform 1"	2125
9	988.8	1059	1079	1201	1050	876.22	1123	1103.97	956	"Atp6v1h"	"uc007afn.1"	"V-type proton ATPase subunit H"	1976
10	0	0	0	0	0	0	0	0	0	"AB338584"	"uc011whv.1"	"AB338584"	26
11	0	0	0	0	0	0	0	0	0	"Oprk1"	"uc007afo.1"	"kappa-type opioid receptor"	1410
12	0	0	0.38	0	0	0	0	0	0	"Npbwr1"	"uc011whw.1"	"neuropeptides B/W receptor type 1"	3692
13	459	391	395	394	308	260	320	279	272	"Rb1cc1"	"uc007afr.2"	"RB1-inducible coiled-coil protein 1"	7046
14	0	0	0	0	0	0	0	0	0	"Fam150a"	"uc007afv.2"	"hypothetical protein LOC620393"	858
15	69	45	66	27	45	35.63	15.87	34	32	"St18"	"uc007afy.1"	"suppression of tumorigenicity 18 protein"	5862
16	313	291	358	272	276	231	625	489	435	"Pcmtd1"	"uc007agb.1"	"protein-L-isoaspartate O-methyltransferase"	5232
17	2	5	3.99	4.12	3	3.38	8.83	0	4.94	"AK043789"	"uc007age.1"	"Mus musculus 10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830033B12 product:ENV POLYPROTEIN PRECURSOR (COAT POLYPROTEIN) [CONTAINS: SURFACE PROTEIN; TRANSMEMBRANE PROTEIN] homolog [Mouse intracisternal a-particle], full insert sequence."	1261
18	0	0	0	2	0	0	0	0	0	"Sntg1"	"uc007agh.1"	"gamma-1-syntrophin"	4193
19	0	0	0	0	0	0	0	0	0	"AB338586"	"uc011wia.1"	"AB338586"	26
20	750	682	642	767	754	857	593	443	444	"Rrs1"	"uc007agk.2"	"ribosome biogenesis regulatory protein homolog"	2048
21	39	60	77	57	105	93	168	170	128	"Adhfe1"	"uc007agl.2"	"hydroxyacid-oxoacid transhydrogenase,"	3139
22	5	4.4	4.74	3	1.66	1	0	1	1	"2610203C22Rik"	"uc007agn.2"	"Mus musculus adult male tongue cDNA, RIKEN full-length enriched library, clone:2310007M24 product:unclassifiable, full insert sequence."	1245
23	0	2.6	3.26	0	1.34	1	0	0	0	"2610203C22Rik"	"uc007ago.2"	"Mus musculus adult male tongue cDNA, RIKEN full-length enriched library, clone:2310007M24 product:unclassifiable, full insert sequence."	509
24	0	0	0	0	0	0	0	0	0	"3110035E14Rik"	"uc007agp.1"	"hypothetical protein LOC76982"	3187
25	38	16	19	4	6	8	12	9	11	"Mybl1"	"uc007agq.1"	"myb-related protein A"	3560
26	555	436	502	1580	1518	1293	1397	1112	1019	"Vcpip1"	"uc007ags.1"	"deubiquitinating protein VCIP135"	5174
27	19.24	27.24	27.69	50.51	65.94	41.42	52.08	56.71	61.69	"AK006607"	"uc007agt.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700034P13 product:unclassifiable, full insert sequence."	2255
28	675.86	607.47	641.93	858.1	765.34	660.07	1147.86	1021.3	905.07	"Sgk3"	"uc007agv.1"	"serine/threonine-protein kinase Sgk3"	5408
29	43.46	28.17	25.36	51.23	125.3	81.46	88.05	73.26	65.58	"6030422M02Rik"	"uc011wie.1"	"minichromosome maintenance complex"	2553
30	148	214	252	150	126	136	149	168	147	"Snhg6"	"uc007aha.1"	"Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110008H02 product:unclassifiable, full insert sequence."	407
31	3	4	7	4	3	4	1	0	2	"Snord87"	"uc011wif.1"	"Mus musculus small nucleolar RNA, C/D box 87 (Snord87), small nucleolar RNA."	74
32	0	0	1	0	0	0	0	0	0	"Lrrc67"	"uc007ahb.1"	"leucine-rich repeat-containing protein 67"	1417
33	818.1	955.15	1059.96	721.35	667.18	579.09	691.01	758.01	650.96	"Cops5"	"uc007ahe.1"	"COP9 signalosome complex subunit 5"	1239
34	171	132	137	111	117	95	133	89	97	"Cspp1"	"uc007ahi.1"	"centrosome and spindle pole associated protein"	4354
35	0	0	0	0	0	0	0	0	0	"AK076931"	"uc007ahm.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930558F10 product:unclassifiable, full insert sequence."	398
36	1387	1090	1161	1824	1972	1566	2920	2388	2133	"Arfgef1"	"uc007ahn.1"	"brefeldin A-inhibited guanine"	7042
37	0	0	0	0	0	0	0	0	0	"Cpa6"	"uc007ahq.1"	"carboxypeptidase A6 precursor"	1930
38	0	0	0.88	1	0	0	0	1.05	0	"Prex2"	"uc007ahs.2"	"phosphatidylinositol"	11054
39	3.72	2.04	3.14	3.34	5.5	4.46	2.03	3.1	3.96	"A830018L16Rik"	"uc011wij.1"	"hypothetical protein LOC320492 isoform 1"	2789
40	0	3	0	0	1	0	1	3	2	"Sulf1"	"uc007aid.1"	"extracellular sulfatase Sulf-1 precursor"	4609
41	15	8	6	8	3	3	5	0	2	"Slco5a1"	"uc007aif.1"	"solute carrier organic anion transporter family,"	8511
42	0	0	0	0	0	0	0	0	0	"Prdm14"	"uc007aik.1"	"PR domain containing 14"	2593
43	771.82	472.93	466.31	295.09	358.88	326.23	519.05	384.78	360.54	"Ncoa2"	"uc007aim.1"	"nuclear receptor coactivator 2 isoform a"	8213
44	1.27	2.26	3.02	3.11	15.59	3.52	3.61	4.38	21.61	"AK171953"	"uc007ais.1"	"Mus musculus 10 days neonate medulla oblongata cDNA, RIKEN full-length enriched library, clone:B830028E17 product:unclassifiable, full insert sequence."	3467
45	1102	889	863	677	670	578	811.02	638	712	"Tram1"	"uc007ait.1"	"translocating chain-associated membrane protein"	2888
46	248.06	198	224	109	82.67	98	93	63.02	73.93	"Lactb2"	"uc007aiu.1"	"beta-lactamase-like protein 2"	1888
47	0	0	0	0	0	0	0	0	0	"Xkr9"	"uc007aiv.1"	"XK-related protein 9"	1926
48	18.65	9.21	7.34	5.28	4.76	5.33	4.57	3.03	2.56	"Gm5523"	"uc011wil.1"	"Mus musculus predicted pseudogene 5523 (Gm5523), non-coding RNA."	1245
49	13	7	8.01	3	3	3	2.41	3	4.01	"Eya1"	"uc007aix.1"	"eyes absent homolog 1"	4330
50	0	0	0	0	0	0	0	0	0	"Msc"	"uc007aja.1"	"musculin"	1715
51	0	0	0	0	0	0	0	0	0	"AK080352"	"uc007ajb.1"	"Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630063H21 product:unclassifiable, full insert sequence."	652
52	0	0	0	0	0	0	0	0	0	"Trpa1"	"uc007ajc.1"	"transient receptor potential cation channel"	4263
53	0	5.29	6.81	0	0	13.01	0	1.82	5.36	"AK195788"	"uc007ajd.1"	"Mus musculus cDNA, clone:Y1G0103F19, strand:plus, reference:ENSEMBL:Mouse-Transcript-ENST:ENSMUST00000032484, based on BLAT search."	287
54	0	0	0	0	0	0	0	0	0	"Kcnb2"	"uc007aje.1"	"potassium voltage-gated channel subfamily B"	5309
55	120.79	113.06	154.68	45	60.43	46.78	56.93	61.11	60.45	"Terf1"	"uc007ajh.1"	"telomeric repeat-binding factor 1"	1633
